label,precision,recall,f1,support
anger,0.8125,0.7647058823529411,0.7878787878787878,34
disgust,0.6285714285714286,0.6470588235294118,0.6376811594202898,34
fear,0.5714285714285714,0.5882352941176471,0.5797101449275363,34
joy,0.75,0.5294117647058824,0.6206896551724138,34
neutral,0.6190476190476191,0.8666666666666667,0.7222222222222222,30
sadness,0.5625,0.5294117647058824,0.5454545454545454,34
